Y,X,Treecover1985,Treecover1990,Treecover1995,Treecover2000,Treecover2005,Treecover2010,Treecover2015,Treecover2020
-24.0914185,-54.2509811,0.23187,0.24695,0.23107,0.23331,0.2469,0.24061,0.23807,0.21497
-25.3815502,-51.4774825,0.17303,0.20506,0.19497,0.20906,0.21179,0.22299,0.25343,0.23339
-25.9020462,-48.5865869,0.17875,0.17466,0.18964,0.186,0.20387,0.2199,0.26287,0.33666
-23.2709612,-51.0504641,0.18673,0.2048,0.21905,0.20621,0.2286,0.21496,0.21161,0.25839
-25.4791188,-50.6505816,0.17602,0.17286,0.18817,0.22796,0.21334,0.23534,0.22199,0.2317
-24.550057,-54.062153,0.26123,0.24961,0.27273,0.25933,0.26736,0.24765,0.23267,0.22974
-23.4181247,-51.9260015,0.23742,0.22024,0.23258,0.21155,0.20229,0.18997,0.19092,0.19829
-25.8015031,-48.5299681,0.22107,0.2503,0.30691,0.29805,0.30299,0.3247,0.36889,0.39844
-25.2895082,-54.0992747,0.25108,0.25071,0.25268,0.27268,0.25157,0.25523,0.24152,0.25727
-24.2868621,-53.8383414,0.18417,0.17923,0.19748,0.21194,0.18333,0.18229,0.17652,0.16881
-25.5493883,-48.5456376,0.11377,0.13103,0.13243,0.16689,0.17482,0.18665,0.18932,0.20819
-23.0789695,-52.4587794,0.2172,0.21752,0.20963,0.20911,0.19912,0.18835,0.16365,0.17521
-26.2311189,-52.679375,0.2153,0.22913,0.23948,0.25453,0.26563,0.25695,0.25659,0.30127
-25.0981117,-50.1644848,0.1901,0.2163,0.19755,0.21836,0.22053,0.21598,0.2109,0.20967
-25.6829111,-48.4658575,0.16875,0.18905,0.21255,0.2633,0.24641,0.25662,0.33579,0.36491
-23.31423,-51.3728361,0.20839,0.19326,0.20285,0.19753,0.19133,0.16836,0.18246,0.21832
-25.442003,-54.4061543,0.2051,0.21391,0.19963,0.21071,0.22201,0.22949,0.15184,0.17457
-24.3268924,-50.6321441,0.15971,0.21942,0.22704,0.23522,0.19937,0.24312,0.23441,0.2162
-24.7318789,-53.7396388,0.18119,0.18299,0.18309,0.19266,0.19016,0.19673,0.21646,0.199
-23.7600661,-53.3050378,0.24093,0.23045,0.24895,0.21796,0.21962,0.21894,0.17937,0.15444
-22.8673489,-42.3375012,0.25884,0.27211,0.27235,0.27385,0.29238,0.29804,0.32967,0.30931
-22.8862423,-42.0309086,0.17823,0.21009,0.23455,0.19246,0.20053,0.27683,0.29424,0.3112
-21.7555922,-41.3172211,0.18293,0.21075,0.22545,0.20483,0.21001,0.24303,0.22531,0.23583
-22.8417119,-42.2195806,0.19485,0.19625,0.20662,0.23867,0.21651,0.23133,0.31112,0.33332
